Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
A.J. McCarron,BUF/LV,2018,2,"$10,000,000","$5,000,000","$6,000,000",2.8%,"$14,413,093","$7,206,546","$8,647,856"
A.J. McCarron,Texans,2020,1,"$4,000,000","$4,000,000","$3,750,000",2%,"$5,154,390","$5,154,390","$4,832,240"
A.J. McCarron,Texans,2019,1,"$3,000,000","$3,000,000","$2,500,000",1.6%,"$4,071,201","$4,071,201","$3,392,667"
A.J. McCarron,Falcons,2021,1,"$1,212,500","$1,212,500","$137,500",0.7%,"$1,696,836","$1,696,836","$192,425"
A.J. McCarron,Bengals,2023,1,"$1,165,000","$1,165,000",$0,0.5%,"$1,323,581","$1,323,581",$0
A.J. McCarron,Bengals,2014,4,"$2,401,652","$600,413","$181,652",0.5%,"$4,611,894","$1,152,974","$348,826"
A.J. McCarron,Bengals,2023,1,"$306,222","$306,222",$0,0.1%,"$347,905","$347,905",$0
A.J. McCarron,Bengals,2023,1,"$289,800","$289,800",$0,0.1%,"$329,248","$329,248",$0
Aaron Murray,Chiefs,2014,4,"$2,427,424","$606,856","$182,424",0.5%,"$4,661,384","$1,165,346","$350,309"
Aaron Murray,Rams,2017,1,"$615,000","$615,000",$0,0.4%,"$940,545","$940,545",$0
Aaron Murray,Cardinals,2016,1,"$117,300","$117,300",$0,0.1%,"$192,944","$192,944",$0
Aaron Murray,Eagles,2016,1,"$117,300","$117,300",$0,0.1%,"$192,944","$192,944",$0
Aaron Rodgers,GB/NYJ,2022,5,"$150,815,000","$50,271,667","$150,665,000",24.1%,"$185,005,528","$61,668,510","$184,821,523"
Aaron Rodgers,Packers,2018,4,"$134,000,000","$33,500,000","$98,200,000",18.9%,"$193,135,440","$48,283,860","$141,536,569"
Aaron Rodgers,Packers,2013,5,"$110,000,000","$22,000,000","$54,000,000",17.9%,"$228,406,504","$45,681,301","$112,126,829"
Aaron Rodgers,Jets,2023,3,"$112,500,000","$37,500,000","$75,000,000",16.7%,"$127,813,612","$42,604,537","$85,209,075"
Aaron Rodgers,Packers,2008,5,"$63,520,000","$12,704,000","$20,000,000",11%,"$139,853,517","$27,970,703","$44,034,483"
Aaron Rodgers,Packers,2005,5,"$7,655,000","$1,531,000","$4,077,500",1.8%,"$22,866,515","$4,573,303","$12,180,041"
Adam Weber,Broncos,2011,3,"$1,405,000","$468,333","$10,000",0.4%,"$2,980,993","$993,664","$21,217"
Adam Weber,Buccaneers,2013,1,"$405,000","$405,000",$0,0.3%,"$840,951","$840,951",$0
Adam Weber,Broncos,2012,1,"$390,000","$390,000",$0,0.3%,"$825,920","$825,920",$0
Adam Weber,Broncos,2011,1,"$96,900","$96,900",$0,0.1%,"$205,593","$205,593",$0
Adam Weber,Buccaneers,2012,1,"$96,900","$96,900",$0,0.1%,"$205,209","$205,209",$0
Adrian Martinez,Lions,2023,3,"$2,705,000","$901,667","$60,000",0.4%,"$3,073,207","$1,024,403","$68,167"
Adrian Martinez,Jets,2024,2,"$1,755,000","$877,500",$0,0.3%,"$1,755,000","$877,500",$0
Adrian Martinez,Jets,2024,1,"$256,667","$256,667",$0,0.1%,"$256,667","$256,667",$0
Adrian Martinez,Jets,2024,1,"$225,000","$225,000",$0,0.1%,"$225,000","$225,000",$0
Aidan O'Connell,Raiders,2023,4,"$4,349,380","$1,087,345","$509,380",0.5%,"$4,941,422","$1,235,355","$578,717"
Alek Torgersen,Falcons,2017,3,"$1,665,000","$555,000","$5,000",0.3%,"$2,546,353","$848,784","$7,647"
Alek Torgersen,ARI/DET,2018,2,"$1,050,000","$525,000",$0,0.3%,"$1,513,375","$756,687",$0
Alek Torgersen,Lions,2017,1,"$122,400","$122,400",$0,0.1%,"$187,191","$187,191",$0
Alek Torgersen,Commanders,2017,1,"$122,400","$122,400",$0,0.1%,"$187,191","$187,191",$0
Alex McGough,Seahawks,2021,1,"$780,000","$780,000",$0,0.4%,"$1,091,573","$1,091,573",$0
Alex McGough,Packers,2023,1,"$870,000","$870,000",$0,0.4%,"$988,425","$988,425",$0
Alex McGough,Seahawks,2018,4,"$2,563,692","$640,923","$103,692",0.4%,"$3,695,073","$923,768","$149,452"
Alex McGough,Packers,2024,1,"$915,000","$915,000",$0,0.4%,"$915,000","$915,000",$0
Alex McGough,Jaguars,2019,2,"$1,280,000","$640,000","$75,000",0.3%,"$1,737,046","$868,523","$101,780"
Alex McGough,Texans,2020,2,"$1,260,000","$630,000",$0,0.3%,"$1,623,633","$811,816",$0
Alex McGough,Texans,2019,2,"$1,080,000","$540,000",$0,0.3%,"$1,465,632","$732,816",$0
Alex McGough,Texans,2019,1,"$495,006","$495,006",$0,0.3%,"$671,756","$671,756",$0
Alex McGough,Texans,2019,1,"$340,000","$340,000",$0,0.2%,"$461,403","$461,403",$0
Alex McGough,Packers,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Alex McGough,Seahawks,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Alex McGough,Texans,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Alex McGough,Seahawks,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Alex Smith,Commanders,2018,4,"$94,000,000","$23,500,000","$71,000,000",13.3%,"$135,483,070","$33,870,767","$102,332,957"
Alex Smith,Chiefs,2014,4,"$68,000,000","$17,000,000","$45,000,000",12.8%,"$130,580,451","$32,645,113","$86,413,534"
Alex Smith,49ers,2005,6,"$49,500,000","$8,250,000","$39,950,000",9.6%,"$147,863,158","$24,643,860","$119,336,023"
Alex Smith,KC/SF,2012,3,"$24,000,000","$8,000,000","$15,500,000",6.6%,"$50,825,871","$16,941,957","$32,825,041"
Alex Smith,49ers,2011,1,"$4,000,000","$4,000,000","$4,000,000",3.3%,"$8,486,812","$8,486,812","$8,486,812"
Alex Smith,49ers,2009,2,"$6,500,000","$3,250,000","$4,000,000",2.6%,"$13,496,748","$6,748,374","$8,305,691"
Alex Tanney,Giants,2019,2,"$2,150,000","$1,050,000","$325,000",0.6%,"$2,917,694","$1,424,920","$441,047"
Alex Tanney,Giants,2021,1,"$922,500","$922,500","$2,500",0.5%,"$1,290,995","$1,290,995","$3,499"
Alex Tanney,Giants,2019,2,"$1,825,000","$912,500",$0,0.5%,"$2,476,647","$1,238,324",$0
Alex Tanney,Titans,2016,3,"$1,170,000","$585,000",$0,0.4%,"$1,924,506","$962,253",$0
Alex Tanney,Giants,2018,1,"$555,000","$555,000",$0,0.3%,"$799,927","$799,927",$0
Alex Tanney,Giants,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Andrew Luck,Colts,2016,5,"$122,970,000","$24,594,000","$87,000,000",15.8%,"$202,270,484","$40,454,097","$143,104,270"
Andrew Luck,Colts,2012,4,"$22,107,998","$5,527,000","$22,107,998",4.6%,"$46,819,094","$11,704,774","$46,819,094"
Andrew Peasley,Jets,2024,3,"$2,830,000","$943,333",$0,0.4%,"$2,830,000","$943,333",$0
Andy Dalton,Bengals,2014,6,"$96,000,000","$16,000,000","$17,000,000",12%,"$184,348,872","$30,724,812","$32,645,113"
Andy Dalton,Bears,2021,1,"$10,000,000","$10,000,000","$7,000,000",5.5%,"$13,994,521","$13,994,521","$9,796,164"
Andy Dalton,Panthers,2023,2,"$10,000,000","$5,000,000","$8,000,000",2.2%,"$11,361,210","$5,680,605","$9,088,968"
Andy Dalton,Cowboys,2020,1,"$3,000,000","$3,000,000","$3,000,000",1.5%,"$3,865,792","$3,865,792","$3,865,792"
Andy Dalton,Saints,2022,1,"$3,000,000","$3,000,000","$3,000,000",1.4%,"$3,680,115","$3,680,115","$3,680,115"
Andy Dalton,Bengals,2011,4,"$5,214,198","$1,303,550","$4,028,171",1.1%,"$11,062,980","$2,765,746","$8,546,583"
Anthony Boone,Lions,0,3,"$1,578,000","$526,000",$0,0%,$0,$0,$0
Anthony Brown,Ravens,2022,3,"$2,580,000","$860,000","$70,000",0.4%,"$3,164,899","$1,054,966","$85,869"
Anthony Brown,Ravens,2022,3,"$2,560,000","$853,333",$0,0.4%,"$3,140,365","$1,046,788",$0
Anthony Brown,BUF/LV,2024,1,"$915,000","$915,000",$0,0.4%,"$915,000","$915,000",$0
Anthony Brown,Ravens,2022,1,"$290,001","$290,001",$0,0.1%,"$355,746","$355,746",$0
Anthony Brown,Ravens,2022,1,"$262,334","$262,334",$0,0.1%,"$321,806","$321,806",$0
Anthony Brown,Ravens,2022,1,"$234,667","$234,667",$0,0.1%,"$287,867","$287,867",$0
Anthony Brown,Ravens,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
