Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Adam Weber,Denver Broncos,2011,3,"$1,405,000","$468,333","$10,000",0.4%,"$2,980,993","$993,664","$21,217"
Adam Weber,Denver Broncos,2011,1,"$96,900","$96,900",$0,0.1%,"$205,593","$205,593",$0
Adam Weber,Denver Broncos,2012,1,"$390,000","$390,000",$0,0.3%,"$825,920","$825,920",$0
Anthony Gordon,Denver Broncos,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Austin Davis,Denver Broncos,2016,1,"$1,250,000","$1,250,000","$100,000",0.8%,"$2,056,096","$2,056,096","$164,488"
Ben DiNucci,Denver Broncos,2023,1,"$870,000","$870,000",$0,0.4%,"$988,425","$988,425",$0
Ben DiNucci,Denver Broncos,2023,1,"$377,600","$377,600",$0,0.2%,"$428,999","$428,999",$0
Ben DiNucci,Denver Broncos,2023,1,"$288,666","$288,666",$0,0.1%,"$327,960","$327,960",$0
Ben DiNucci,Denver Broncos,2023,1,"$252,333","$252,333",$0,0.1%,"$286,681","$286,681",$0
Ben DiNucci,Denver Broncos,2023,1,"$216,000","$216,000",$0,0.1%,"$245,402","$245,402",$0
Ben DiNucci,Denver Broncos,2024,1,"$985,000","$985,000",$0,0.4%,"$985,000","$985,000",$0
Blake Bortles,Denver Broncos,2020,1,"$910,000","$910,000",$0,0.5%,"$1,172,624","$1,172,624",$0
Blake Bortles,Denver Broncos,2020,1,"$204,000","$204,000",$0,0.1%,"$262,874","$262,874",$0
Bo Nix,Denver Broncos,2024,4,"$18,613,166","$4,653,292","$18,613,166",1.8%,"$18,613,166","$4,653,292","$18,613,166"
Brandon Allen,Denver Broncos,2019,1,"$645,000","$645,000",$0,0.3%,"$875,308","$875,308",$0
Brett Rypien,Denver Broncos,2019,3,"$1,765,000","$588,333","$146,000",0.3%,"$2,395,223","$798,407","$198,132"
Brett Rypien,Denver Broncos,2019,2,"$1,080,000","$540,000",$0,0.3%,"$1,465,632","$732,816",$0
Brett Rypien,Denver Broncos,2019,1,"$494,989","$494,989",$0,0.3%,"$671,733","$671,733",$0
Brett Rypien,Denver Broncos,2019,1,"$340,000","$340,000",$0,0.2%,"$461,403","$461,403",$0
Brett Rypien,Denver Broncos,2020,2,"$1,525,000","$762,500",$0,0.4%,"$1,965,111","$982,555",$0
Brett Rypien,Denver Broncos,2020,2,"$1,260,000","$630,000",$0,0.3%,"$1,623,633","$811,816",$0
Brett Rypien,Denver Broncos,2020,1,"$142,800","$142,800",$0,0.1%,"$184,012","$184,012",$0
Brett Rypien,Denver Broncos,2021,1,"$850,000","$850,000",$0,0.5%,"$1,189,534","$1,189,534",$0
Brett Rypien,Denver Broncos,2021,1,"$165,600","$165,600",$0,0.1%,"$231,749","$231,749",$0
Brett Rypien,Denver Broncos,2022,1,"$965,000","$965,000",$0,0.5%,"$1,183,770","$1,183,770",$0
Brock Osweiler,Denver Broncos,2012,4,"$3,516,678","$879,170","$997,584",0.7%,"$7,447,426","$1,861,858","$2,112,628"
Brock Osweiler,Denver Broncos,2017,1,"$775,000","$775,000",$0,0.5%,"$1,185,240","$1,185,240",$0
Case Cookus,Denver Broncos,2021,2,"$1,485,000","$742,500",$0,0.4%,"$2,078,186","$1,039,093",$0
Case Keenum,Denver Broncos,2018,2,"$36,000,000","$18,000,000","$36,000,000",10.2%,"$51,887,133","$25,943,567","$51,887,133"
Chad Kelly,Denver Broncos,2017,4,"$2,464,284","$616,071","$64,284",0.4%,"$3,768,731","$942,183","$98,312"
Christian Ponder,Denver Broncos,2015,1,"$745,000","$745,000",$0,0.5%,"$1,327,980","$1,327,980",$0
Garrett Grayson,Denver Broncos,2018,1,"$129,200","$129,200",$0,0.1%,"$186,217","$186,217",$0
Garrett Grayson,Denver Broncos,2019,2,"$1,230,000","$615,000",$0,0.3%,"$1,669,192","$834,596",$0
Jarrett Guarantano,Denver Broncos,2022,2,"$1,585,000","$792,500","$10,000",0.4%,"$1,944,328","$972,164","$12,267"
Jarrett Guarantano,Denver Broncos,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Jarrett Guarantano,Denver Broncos,2022,1,"$207,000","$207,000",$0,0.1%,"$253,928","$253,928",$0
Jarrett Stidham,Denver Broncos,2023,2,"$10,000,000","$5,000,000","$5,000,000",2.2%,"$11,361,210","$5,680,605","$5,680,605"
Jeff Driskel,Denver Broncos,2020,2,"$5,000,000","$2,500,000","$2,500,000",1.3%,"$6,442,987","$3,221,493","$3,221,493"
Josh Johnson,Denver Broncos,2022,1,"$1,220,000","$1,220,000","$100,000",0.6%,"$1,496,580","$1,496,580","$122,671"
Josh Johnson,Denver Broncos,2022,1,"$334,222","$334,222",$0,0.2%,"$409,992","$409,992",$0
Josh Johnson,Denver Broncos,2022,1,"$288,000","$288,000",$0,0.1%,"$353,291","$353,291",$0
Kevin Hogan,Denver Broncos,2019,1,"$1,360,000","$1,360,000","$300,000",0.7%,"$1,845,611","$1,845,611","$407,120"
Kyle Orton,Denver Broncos,2010,1,"$2,621,000","$2,621,000",$0,2%,"$5,189,174","$5,189,174",$0
Kyle Sloter,Denver Broncos,2017,3,"$1,665,000","$555,000","$3,000",0.3%,"$2,546,353","$848,784","$4,588"
Nick Stevens,Denver Broncos,2018,3,"$1,710,500","$570,167",$500,0.3%,"$2,465,359","$821,787",$721
